label,message,num_characters,num_words,num_sentences
ham,hello boytoy  geeee  im missing you today i like to send you a tm and remind you im thinking of you  and you are loved  loving kiss,131,27,1
ham,oh howda gud gud mathe en samachara chikku,42,8,1
ham,r u meeting da ge at nite tmr,29,8,1
ham,dear got bus directly to calicut,32,6,1
ham,ok c u then,11,4,1
ham,sfrom the training manual it show there is no tech processits all about password reset and troubleshooting,106,17,1
spam,dear uve been invited to xchat this is our final attempt to contact u txt chat to,81,17,1
spam,no  polyphonic tone  ur mob every week just txt pt to  st tone free  so get txtin now and tell ur friends ptone  reply hl info,126,26,1
spam,guess who am ithis is the first time i created a web page wwwasjesuscom read all i wrote im waiting for your opinions i want to be your friend,142,29,1
ham,gud mrng dear hav a nice day,28,7,1
ham,how are you my love  are you with your brother  time to talk english with him  grins say  hey muhommad penny says hello from across the sea,139,27,1
ham,oh icic k lor den meet other day,32,8,1
ham,smith waste dai wanna gayle,27,6,1
ham,in case you wake up wondering where i am i forgot i have to take care of something for grandma today should be done before the parade,133,27,1
ham,no my blankets are sufficient thx,33,6,1
ham,oh k kbut he is not a big hitteranyway good,43,10,1
ham,kindly send some one to our flat before  ltdecimalgt  today,59,10,1
ham,dont gimme that lip caveboy,27,6,1
ham,the lay man just to let you know you are missed and thought off do have a great day and if you can send me bimbo and ugos numbers ill appreciate safe,149,32,1
ham,been running but only managed  minutes and then needed oxygen might have to resort to the roller option,103,18,1
ham,anything lor if they all go then i go lor,41,10,1
ham,i was slept that timeyou there,30,6,1
ham,just nw i came to hme da,24,7,1
ham,hey theres veggie pizza,23,4,1
ham,hey you told your name to gautham ah,36,8,1
ham,jesus armand really is trying to tell everybody he can find,59,11,1
ham,youve already got a flaky parent itsnot supposed to be the childs job to support the parentnot until theyre the ride age anyway im supposed to be there to support you and now ive hurt you unintentional but hurt nonetheless,222,40,1
ham,im in office now  i will call you  ltgt  min,44,10,1
spam,boltblue tones for p reply poly or mono eg poly  cha cha slide  yeah  slow jamz  toxic  come with me or stop  more tones txt more,129,26,1
ham,haha that was the first person i was gonna ask,46,11,1
ham,i am back good journey let me know if you need any of the receipts shall i tell you like the pendent,100,22,1
ham,dunno he jus say go lido same time,34,8,1
ham,the sign of maturity is not when we start saying big things but actually it is when we start understanding small things have a nice evening bslvyl,146,27,1
ham,those cocksuckers if it makes you feel better ipads are worthless garbage novelty items and you should feel bad for even wanting one,132,23,1
ham,thank you for callingforgot to say happy onam to you sirjii am fine here and remembered you when i met an insurance personmeet you in qatar insha allahrakhesh ex tata aig who joined tisscotayseer,195,34,1
ham,well theres still a bit left if you guys want to tonight,56,12,1
ham,unfortunately ive just found out that we have to pick my sister up from the airport that evening so dont think ill be going out at all we should try to go out one of th,168,36,1
ham,ball is moving a lotwill spin in last so very difficult to bat,62,13,1
spam,had your mobile  mths update to the latest cameravideo phones for free keep ur same number get extra free minstexts text yes for a call,135,25,1
ham,i wish things were different i wonder when i will be able to show you how much i value you pls continue the brisk walks no drugs without askin me please and find things to laugh about i love you dearly,201,41,1
ham,thats y we haf to combine n c how lor,37,10,1
spam,double mins and txts  months free bluetooth on orange available on sony nokia motorola phones call mobileupd on  or calloptoutndx,129,20,1
ham,pathaya enketa maraikara pa,27,4,1
ham,hey chief can you give me a bell when you get this need to talk to you about this royal visit on the st june,108,25,1
ham,how much r  willing to pay,26,6,1
ham,just woke up yeesh its late but i didnt fall asleep til ltgt am,63,14,1
ham,now only i reached home   i am very tired now  i will come tomorro,66,14,1
ham,jus ans me lar ull noe later,28,7,1
ham,okey dokey swashbuckling stuff what oh,38,6,1
spam,tddnewsletteremccouk more games from thedailydraw dear helen dozens of free games  with great prizeswith,104,14,1
ham,messagesome text missing sendername missing number missing sentdate missing missing u a lot thats y everything is missing sent via fullonsmscom,143,21,1
ham,my tuition is at  hm we go for the  to  one do you mind,55,14,1
ham,wats da model num of ur phone,29,7,1
ham,otherwise had part time job natuition,37,6,1
ham,yeah we wouldnt leave for an hour at least hows  sound,54,11,1
spam,camera  you are awarded a sipix digital camera call  fromm landline delivery within  days,89,14,1
ham,yupz ive oredi booked slots  my weekends liao,45,8,1
ham,yeah he got in at  and was v apologetic n had fallen out and she was actin like spoilt child and he got caught up in that till  but we wont go there not doing too badly cheers you,179,39,1
ham,can i get your opinion on something first,41,8,1
ham,god picked up a flower and dippeditinadew lovingly touched itwhichturnedinto u and the he gifted tomeandsaidthis friend is u,124,19,1
spam,tfp,3,1,1
ham,hey i almost forgot  happy bday babe  i love ya,47,10,1
ham,i think your mentor is  but not  percent sure,45,9,1
ham,it wont b until  as trying  sort house out is that ok,53,12,1
ham,if he started searching he will get job in few dayshe have great potential and talent,85,16,1
ham,pass dis to all ur contacts n see wat u get redim in luv wid u blueu put a smile on my face purpleu r realy hot pinku r so swt orangei thnk i lyk u greeni realy wana go out wid u yelowi wnt u bck blackim jealous of u browni miss you nw plz giv me one color,256,60,1
ham,too late i said i have the website i didnt i have or dont have the slippers,75,17,1
ham,i sent you  ltgt  bucks,23,5,1
spam,you have won a nokia i this is what you get when you win our free auction to take part send nokia to  now hgsuitelands rowwjhl,126,26,1
ham,nicenicehow is it working,25,4,1
ham,wifehow she knew the time of murder exactly,43,8,1
ham,i was up all night too worrying about this appt its a shame we missed a girls night out with quizzes popcorn and you doing my hair,130,27,1
ham,how much are we getting,23,5,1
ham,package all your programs well,30,5,1
ham,nottel software name,20,3,1
spam,we have new local dates in your area  lots of new people registered in your area reply date to start now  only wwwflirtpartyus replys,133,24,1
spam,you have won a guaranteed  award or even  cashto claim ur award call free on    stop getstop on  php,100,19,1
ham,gonna let me know cos comes bak from holiday that day  is coming dontgettext me  number,87,17,1
ham,good afternoon babe how goes that day  any job prospects yet  i miss you my love  sighs,87,17,1
ham,a cute thought for friendship its not necessary to share every secret with ur close frnd but watever u shared should be true,124,23,1
spam,i dont know u and u dont know me send chat to  now and lets find each other only pmsg rcvd hgsuitelandsrowwjhl ldn  years or over,129,26,1
ham,hello which the site to download songs its urgent pls,53,10,1
ham,no i decided that only people who care about stuff vote and caring about stuff is for losers,92,18,1
ham,i know dat feelin had it with pete wuld get with em  nuther place nuther time mayb,82,17,1
ham,anyway seriously hit me up when youre back because otherwise i have to light up with armand and he always has shit andor is vomiting,132,25,1
ham,purity of friendship between two is not about smiling after reading the forwarded messageits about smiling just by seeing the name gud evng,139,23,1
ham,r u over scratching it,22,5,1
spam,we currently have a message awaiting your collection to collect your message just call,86,14,1
ham,yup izzit still raining heavily cos im in e mrt i cant c outside,64,14,1
ham,ho ho  big belly laugh see ya tomo,34,8,1
ham,ummmawill call after check inour life will begin from qatar so pls pray very hard,81,15,1
spam,free video camera phones with half price line rental for  mths and  cross ntwk mins  txts call mobileupd  or calloptout,119,20,1
ham,dont necessarily expect it to be done before you get back though because im just now headin out,95,18,1
ham,yes but i dont care i need you bad princess,43,10,1
ham,to the wonderful okors have a great month we cherish you guys and wish you well each day mojibiola,98,19,1
spam,camera  you are awarded a sipix digital camera call  fromm landline delivery within  days,89,14,1
ham,babe i fucking love you too  you know fuck it was so good to hear your voice i so need that i crave it i cant get enough i adore you ahmad kisses,145,33,1
ham,thk some of em find wtc too far weiyi not goin e rest i dunno yet r ur goin  dinner den i might b able to join,110,27,1
ham,aight fuck it ill get it later,30,7,1
ham,ok lor msg me b u call,22,7,1
ham,i went to ur hon lab but no one is there,40,11,1
ham,i cant right this second gotta hit people up first,50,11,1
ham,dunno lei i thk mum lazy to go out i neva ask her yet,53,14,1
ham,we have sent jd for customer service cum accounts executive to ur mail id for details contact us,96,18,1
ham,i want to be inside you every night,35,8,1
ham,argh why the fuck is nobody in town,35,8,1
ham,i am going to sao mu today will be done only at,47,12,1
spam,text get more ringtones logos and games from wwwtxtcom questions infotxtcouk,76,11,1
ham,do u noe wat time e place dat sells d closes,44,11,1
spam,as a registered optin subscriber ur draw   gift voucher will be entered on receipt of a correct ans to  whats no in the bbc charts,130,25,1
ham,id onluy matters when getting on from offcampus,47,8,1
ham,are you available for soiree on june rd,39,8,1
spam,you have  new message please call,33,6,1
ham,aight thatll work thanks,24,4,1
ham,i dont understand your message,30,5,1
ham,no problem how are you doing,28,6,1
ham,sorry i missed you babe i was up late and slept in i hope you enjoy your driving lesson boytoy i miss you too  teasing kiss,123,26,1
ham,i got it before the new year cos yetunde said she wanted to surprise you with it but when i didnt see money i returned it mid january before the  ltgt day return period ended,174,35,1
ham,aiyah sorry lor i watch tv watch until i forgot  check my phone,63,13,1
ham,i forgot  ask  all smth theres a card on da present lei how  all want  write smth or sign on it,95,21,1
ham,valuable affectionate loveable eternal noble truthful intimate natural enamous happy valentines day in advance,110,14,1
ham,detroit the home of snow enjoy it,33,7,1
ham,im going for bath will msg you next  ltgt  min,46,10,1
ham,hello good week fancy a drink or something later,48,9,1
ham,smile in pleasure smile in pain smile when trouble pours like rain smile when sum hurts u smile becoz someone still loves to see u smiling,138,26,1
ham,ill be at mu in like  ltgt  seconds,35,8,1
ham,hello no news on job they are making me wait a fifth week yeah im up for some woozles and weasels in exeter still but be home about,131,28,1
ham,we took hooch for a walk toaday and i fell over splat grazed my knees and everything should have stayed at home see you tomorrow,128,25,1
ham,ill see but prolly yeah,23,5,1
ham,carlos took a while again we leave in a minute,46,10,1
ham,yar lor keep raining non stop or u wan  go elsewhere,52,11,1
ham,whatever juliana do whatever you want,37,6,1
ham,thanks  and  or bomb and date as my phone wanted to say,55,12,1
ham,v ma fan,8,3,1
ham,no promises on when though havent even gotten dinner yet,56,10,1
ham,do have a nice day today i love you so dearly,45,11,1
ham,he said i look pretty wif long hair wat but i thk hes cutting quite short  me leh,81,18,1
ham,ok but they said ive got wisdom teeth hidden inside n mayb need  remove,71,14,1
ham,hello handsome  are you finding that job  not being lazy  working towards getting back that net for mummy  wheres my boytoy now  does he miss me,144,26,1
ham,good morning my dear shijutta have a great amp successful day,61,11,1
ham,partys at my place at usf no charge but if you can contribute in any way it is greatly appreciated and yeah we got room for one more,132,28,1
ham,i came hostel i m going to sleep plz call me up before class hrishi,67,15,1
ham,are you this much buzy,22,5,1
ham,kkgoodstudy well,16,2,1
ham,no its not pride im almost  ltgt  years old and shouldnt be takin money from my kid youre not supposed to have to deal with this stuff this is grownup stuffwhy i dont tell you,175,35,1
ham,in the end she might still vomit but its okay not everything will come out,74,15,1
ham,ok that would b lovely if u r sure think about wot u want to do drinkin dancin eatin cinema in out about up to u wot about,122,28,1
ham,motivate behind every darkness there is a shining light waiting for you to find it behind every best friend there is always trust and love bslvyl,145,26,1
ham,thts gods gift for birds as humans hav some natural gift frm god,64,13,1
ham,wheres my boytoy i miss you  what happened,42,8,1
ham,height of recycling read twice people spend time for earning money and the same money is spent for spending time good morning keep smiling,138,24,1
ham,night has ended for another day morning has come in a special way may you smile like the sunny rays and leaves your worries at the blue blue bay gud mrng,153,31,1
ham,after my work ah den  plus lor u workin oso rite den go orchard lor no other place to go liao,93,21,1
ham,fighting with the world is easy u either win or lose bt fightng with some who is close to u is dificult if u lose  u lose if u win  u still lose,144,33,1
ham,i think its all still in my car,31,8,1
ham,pls call me da what happen,26,6,1
spam,had your contract mobile  mnths latest motorola nokia etc all free double mins  text on orange tariffs text yes for callback no to remove from records,150,26,1
ham,hey do you want anything to buy,31,7,1
ham,so is there anything specific i should be doing with regards to jaklin or what because idk what the fuck,104,20,1
ham,good night am going to sleep,28,6,1
ham,when u love someone dont make them to love u as much as u do but love them so much that they dont want to be loved by anyone except you gud nit,143,33,1
ham,pls she needs to dat slowly or she will vomit more,50,11,1
ham,yo call me when you get the chance a friend of mine wanted me to ask you about a big order,90,21,1
ham,i noe la u wana pei bf oso rite k lor other days den,52,14,1
ham,havent found a way to get another app for your phone eh  will you go to the net cafe  did you take that job geeee i need you babe i crave to see you,148,34,1
ham,cool do you like swimming i have a pool and jacuzzi at my house,63,14,1
ham,does she usually take fifteen fucking minutes to respond to a yes or no question,80,15,1
ham,i am in tirupur  call you da,28,7,1
ham,no but the bluray player can,28,6,1
ham,hows it feel mr your not my real valentine just my yo valentine even tho u hardly play,86,18,1
ham,anything lor is she coming,26,5,1
spam,reply to win  weekly where will the  fifa world cup be held send stop to  to end service,88,18,1
ham,so many people seems to be special at first sight but only very few will remain special to you till your last sight maintain them till life ends shjas,150,29,1
ham,nobody can decide where to eat and dad wants chinese,52,10,1
ham,hello sort of out in town already that  so dont rush home i am eating nachos will let you know eta,98,21,1
ham,leaving to qatar tonite in search of an opportunityall went fastpls add me in ur prayers dearrakhesh,100,17,1
spam,gr new service  live sex video chat on your mob  see the sexiest dirtiest girls live on ur phone   details text horny to  to cancel send stop to,144,28,1
ham,do you like italian food,24,5,1
ham,kgive back my thanks,20,4,1
ham,thats fine have him give me a call if he knows what he wants or has any questions,81,18,1
ham,hes an adult and would learn from the experience theres no real danger i just dont like peeps using drugs they dont need but no comment,135,26,1
ham,how many times i told in the stage all use to laugh you not listen aha,70,16,1
ham,k im leaving soon be there a little after,41,9,1
ham,huh so early then  having dinner outside izzit,46,8,1
ham,yo howz u girls never rang after india l,40,9,1
ham,ill meet you in the lobby,25,6,1
spam,in the simpsons movie released in july  name the band that died at the start of the film agreen day bblue day cred day send a b or c,132,29,1
spam,hi im sue i am  years old and work as a lapdancer i love sex text me live  im i my bedroom now text sue to  by textoperator g da ppmsg,134,31,1
ham,just forced myself to eat a slice im really not hungry tho this sucks mark is getting worried he knows im sick when i turn down pizza lol,137,28,1
ham,full heat pa i have applyed oil pa,34,8,1
ham,so hows scotland hope you are not over showing your jjc tendencies take care live the dream,91,17,1
ham,small problem in auctionpunj now asking tiwary,46,7,1
ham,it only does simple arithmetic not percentages,46,7,1
spam,gsoh good with spam the ladiesu could b a male gigolo  join the uks fastest growing mens club reply oncall mjzgroup stop reply stop msgrcvd,139,25,1
ham,you know wot people wear t shirts jumpers hat belt is all we know we r at cribbs,80,18,1
ham,haha awesome be there in a minute,33,7,1
ham,im leaving my house now,23,5,1
ham,sent me ur email id soon,24,6,1
ham,life is more strict than teacher bcoz teacher teaches lesson amp then conducts exam but life first conducts exam amp then teaches lessons happy morning,151,25,1
ham,do u ever get a song stuck in your head for no reason and it wont go away til u listen to it like  times,104,25,1
ham,haha mayb ure rite u know me well da feeling of being liked by someone is gd lor u faster go find one then all gals in our group attached liao,142,31,1
ham,give me some time to walk there,31,7,1
ham,im taking derek amp taylor to walmart if im not back by the time youre done just leave the mouse on my desk and ill text you when priscillas ready,146,30,1
ham,so u workin overtime nigpun,27,5,1
ham,meeting u is my work   tel me when shall i do my work tomorrow,62,14,1
ham,will  b going to esplanade fr home,34,7,1
ham,ya very nice  be ready on thursday,34,7,1
ham,can dunno wat to get  her,25,6,1
ham,theoretically yeah he could be able to come,43,8,1
ham,i can make lasagna for you vodka,32,7,1
ham,we got a divorce lol shes here,30,7,1
ham,where are you lover  i need you,31,7,1
spam,you  are guaranteed the latests nokia phone a gb ipod mp player or a  prize txt wordcollect to no tcllc nyusa pmt msgrcvd,121,23,1
ham,dad says hurry the hell up,26,6,1
ham,love it i want to flood that pretty pussy with cum,50,11,1
ham,its ok lar u sleep early too nite,33,8,1
ham,thats cool how was your day,27,6,1
ham,can you pls pls send me a mail on all you know about relatives coming to deliver here all you know about costs risks benefits and anything else thanks,150,29,1
ham,howz that persons story,23,4,1
spam,thanks for your ringtone order reference t you will be charged gbp  per week you can unsubscribe at anytime by calling customer services on,139,24,1
ham,im in a movie call me  wat,26,7,1
spam,p  alfie moons children in need song on ur mob tell ur ms txt tone charity to  for nokias or poly charity for polys zed  profit  charity,136,27,1
ham,sad story of a man  last week was my bday my wife didnt wish me my parents forgot n so did my kids  i went to work even my colleagues did not wish,146,33,1
ham,ok i will tell her to stay out yeah its been tough but we are optimistic things will improve this month,103,21,1
ham,where wuld i be without my baby the thought alone mite break me and i dont wanna go crazy but everyboy needs his lady xxxxxxxx,126,26,1
ham,are you willing to go for aptitude class,40,8,1
ham,yes nigh you cant aha,21,5,1
ham,hi mom we might be back later than  ltgt,40,9,1
ham,can i please come up now imin towndontmatter if urgoin outlrjust reallyneed docdplease dontplease dontignore mycallsu no thecd isvimportant tome  moro,150,21,1
spam,had your mobile  mths update to latest orange cameravideo phones for free save s with free textsweekend calls text yes for a callback orno to opt out,149,27,1
ham,alex says hes not ok with you not being ok with it,50,12,1
ham,haha but no money leh later got to go for tuition haha and looking for empty slots for driving lessons,102,20,1
ham,sir hope your day is going smoothly i really hoped i wont have to bother you about this i have some bills that i cant settle this month i am out of all extra cash i know this is a challenging time for you also but i have to let you know,236,52,1
ham,neither in sterm voice  im studying all fine with me not sure the  thing will be resolved tho anyway have a fab hols,116,23,1
ham,am on my way,12,4,1
ham,and stop being an old man you get to build snowman snow angels and snowball fights,82,16,1
ham,for many things its an antibiotic and it can be used for chest abdomen and gynae infections even bone infections,112,20,1
ham,da is good good playerwhy he is unsold,38,8,1
ham,fyi im at usf now swing by the room whenever,44,10,1
ham,i agree so i can stop thinkin about ipad can you please ask macho the same question,83,17,1
ham,yar i tot u knew dis would happen long ago already,50,11,1
ham,shall call now dear having food,31,6,1
ham,my friends use to call the same,31,7,1
ham,hope ur head doesnt hurt  much  am ploughing my way through a pile of ironing  staying in with a chinky tonight come round if you like,134,26,1
ham,ya just telling abt tht incident,32,6,1
ham,ok lor thanx  in school,23,5,1
ham,an amazing quote  sometimes in life its difficult to decide whats wrong a lie that brings a smile or the truth that brings a tear,129,25,1
ham,jus came back fr lunch wif my sis only u leh,44,11,1
ham,its posible dnt live in  ltgt century cm frwd n thnk different,62,12,1
